State,City,Street,Zipcode,Latitude,Longitude,Bedroom,Bathroom,Area,PPSq,LotArea,ConvertedLot,LotUnit,MarketEstimate,RentEstimate,Price
AL,Enterprise,Plaza Dr,36330,31.295835,-85.833595,3.0,2.0,1336.0,125.37425149700599,0.45999999999999996,0.45999999999999996,acres,165800,1764,167500.0
AL,Homewood,Sandner Ct APT D,35209,33.471996,-86.786545,2.0,1.0,864.0,219.90740740740742,0.0,0.0,sqft,nan,nan,190000.0
AL,Cullman,6th St SE,35055,34.17533,-86.83396,3.0,2.0,1341.0,197.613721103654,9583.2,0.22000000000000003,sqft,263700,1650,265000.0
AL,Fairhope,River Park Rd,36532,30.470724,-87.81819,3.0,2.0,1755.0,170.65527065527064,1.0,1.0,acres,nan,nan,299500.0
AL,Foley,Headlands Ln,36535,30.434465,-87.752716,4.0,2.0,2047.0,146.50708353688324,10454.4,0.24,sqft,nan,nan,299900.0
AL,Mobile,S Faure Dr,36605,30.631083,-88.10963,4.0,1.0,1817.0,74.24325811777655,10715.76,0.246,sqft,nan,1400,134900.0
AL,Montgomery,Amherst Rd,36116,32.323402,-86.29356,3.0,1.0,1813.0,70.60066188637617,9230.364,0.21189999999999998,sqft,nan,nan,127999.0
AL,Auburn,Lois Ln,36832,32.575935,-85.49536,3.0,2.0,1693.0,234.79031305375074,0.25,0.25,acres,nan,nan,397500.0
AL,Mobile,Spring Meadow Dr E,36695,30.61962,-88.267395,3.0,2.0,1535.0,182.37785016286645,nan,nan,nan,nan,1942,279950.0
AL,Theodore,Lundy Rd,36582,30.56557,-88.228935,3.0,2.0,1500.0,94.66666666666667,0.7508,0.7508,acres,nan,1266,142000.0
AL,Mobile,Ralston Rd,36606,30.680765,-88.10756,3.0,2.0,1660.0,78.3132530120482,1.0,1.0,acres,127800,1514,130000.0
AL,Mobile,Anders Dr,36608,30.711075,-88.19744,4.0,2.0,1267.0,133.3859510655091,8563.896,0.19660000000000002,sqft,nan,1147,169000.0
AL,Tuscaloosa,Pin Oak Dr,35405,33.178677,-87.47292,4.0,3.0,2600.0,123.03846153846153,0.47000000000000003,0.47000000000000003,acres,309400,1814,319900.0
AL,Mobile,Forest Glen Dr W,36618,30.714804,-88.147964,3.0,2.0,1515.0,150.42904290429044,10301.94,0.23650000000000002,sqft,227800,1558,227900.0
AL,Daphne,Lakeview Loop,36526,30.65488,-87.892334,3.0,2.0,1704.0,132.04225352112675,10454.4,0.24,sqft,223200,2299,225000.0
AL,Birmingham,Lance Way,35206,33.57317,-86.68901,4.0,3.0,5470.0,36.56307129798903,0.36,0.36,acres,196400,2932,200000.0
AL,Florala,Glen Chambers Rd,36442,31.079906,-86.42805,3.0,2.0,1433.0,136.00837404047454,5.45,5.45,acres,nan,nan,194900.0
AL,Marion,Washington St,36756,32.628574,-87.319466,5.0,3.0,3656.0,57.439824945295406,nan,nan,nan,241400,1999,210000.0
AL,Dothan,Candle Brook Dr,36303,31.26417,-85.422714,2.0,2.0,1476.0,113.07588075880759,8712.0,0.2,sqft,165200,1700,166900.0
AL,Daphne,Rhone Dr,36526,30.626759,-87.87644,4.0,3.0,2807.0,228.0014250089063,0.34500000000000003,0.34500000000000003,acres,nan,nan,640000.0
AL,Ozark,Ketcham Rd,36360,31.442524,-85.60594,8.0,4.0,3150.0,63.17460317460318,1.9,1.9,acres,198000,nan,199000.0
AL,Birmingham,Harris Rd,35217,33.588623,-86.73935,4.0,3.0,4110.0,34.038929440389296,1.09,1.09,acres,138200,1570,139900.0
AL,Auburn,E Magnolia Ave,36830,32.606426,-85.45639,3.0,2.0,1560.0,200.0,0.48,0.48,acres,nan,nan,312000.0
AL,Mount Vernon,Long St,36560,31.094666,-88.004585,3.0,2.0,1750.0,97.14285714285714,4.0,4.0,acres,nan,nan,170000.0
AL,Prattville,Buena Vista Blvd,36067,32.428448,-86.45171,3.0,2.0,1522.0,148.8173455978975,5662.8,0.13,sqft,225400,1584,226500.0
AL,Montgomery,Sunset Dr,36109,32.371876,-86.24128,3.0,2.0,1862.0,91.24597207303974,0.8699999999999999,0.8699999999999999,acres,nan,nan,169900.0
AL,Headland,State Highway 134 W,36345,31.333715,-85.39057,3.0,3.0,2128.0,91.63533834586467,1.12,1.12,acres,50300,1778,195000.0
AL,Trussville,Olivia Dr,35173,33.665035,-86.5084,3.0,2.0,1372.0,167.6384839650146,0.35,0.35,acres,nan,nan,230000.0
AL,Newton,S College St,36352,31.332989,-85.599846,3.0,2.0,1568.0,88.89732142857143,0.49000000000000005,0.49000000000000005,acres,136300,1389,139391.0
AL,Dora,Warrior Jasper Rd,35062,33.748173,-86.981186,3.0,2.0,1642.0,167.1741778319123,2.7,2.7,acres,255500,1433,274500.0
AL,Athens,Us Highway 31,35611,34.75263,-86.95664,2.0,2.0,1200.0,187.5,0.45,0.45,acres,nan,nan,225000.0
AL,Birmingham,Renfro Rd,35216,33.41161,-86.79205,4.0,3.0,2504.0,149.76038338658148,0.67,0.67,acres,383100,2464,375000.0
AL,Daphne,Ivy Cir,36526,30.637468,-87.89588,5.0,2.0,1925.0,153.24675324675326,4791.6,0.11000000000000001,sqft,292900,2100,295000.0
AL,Athens,Norton Dr,35613,34.793026,-86.93592,4.0,4.0,2670.0,0.0,0.5803025711662075,0.5803025711662075,acres,376000,2327,0.0
AL,Attalla,Dewey Ave,35954,34.00362,-86.12681,3.0,1.0,1000.0,125.0,nan,nan,nan,118400,972,125000.0
AL,Prichard,Dade St,36610,30.740385,-88.093895,3.0,1.0,1245.0,40.16064257028113,6560.136,0.1506,sqft,48500,1200,50000.0
AL,Mobile,Hounds Run S,36608,30.68334,-88.198875,4.0,3.0,2238.0,89.36550491510278,0.2969,0.2969,acres,199700,1900,200000.0
AL,Logan,County Road 818,35098,34.12248,-87.05896,3.0,2.0,1272.0,196.54088050314465,1.2,1.2,acres,251200,1507,250000.0
AL,Grand Bay,Knoke Ave,36541,30.476803,-88.33238,3.0,2.0,1293.0,150.8120649651972,0.46599999999999997,0.46599999999999997,acres,187300,1298,195000.0
AL,Tuscaloosa,Old Greensboro Rd,35405,33.056057,-87.570274,3.0,3.0,1205.0,156.84647302904565,1.5,1.5,acres,184800,1266,189000.0
AL,Orange Beach,Pepper Ln,36561,30.265562,-87.61141,3.0,4.0,1507.0,577.2395487723954,1698.84,0.039,sqft,nan,nan,869900.0
AL,Theodore,Lancaster Rd,36582,30.50111,-88.165405,4.0,2.0,2156.0,208.71938775510205,2.2311,2.2311,acres,447600,1460,449999.0
AL,Camden,Elizabeth Dr,36726,32.00564,-87.29034,2.0,2.0,0.0,nan,1250.0,0.02869605142332415,sqft,nan,nan,89900.0
AL,Huntsville,Derwent Ln,35810,34.822517,-86.58565,3.0,2.0,1634.0,152.99877600979192,1.7,1.7,acres,nan,nan,250000.0
AL,Salem,Lee Road 638,36874,32.667465,-85.18102,4.0,3.0,1976.0,79.95951417004049,0.73,0.73,acres,155200,2243,158000.0
AL,Fort Payne,Meadowbrook Ln NW,35967,34.515076,-85.67819,3.0,2.0,1382.0,137.4095513748191,1.0,1.0,acres,nan,nan,189900.0
AL,Gulf Shores,W 6th Ave,36542,30.251629,-87.69282,3.0,2.0,1279.0,468.33463643471464,6098.4,0.13999999999999999,sqft,nan,nan,599000.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AL,Harvest,Ford Chapel Rd,35749,34.841938,-86.73511,4.0,3.0,3500.0,0.0,5.0,5.0,acres,nan,nan,0.0
